"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 02 12:17:37 GMT 2025","Fri May 02 12:17:37 GMT 2025","1","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Fri May 02 12:17:37 GMT 2025","Fri May 02 12:17:37 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Fri May 02 12:17:33 GMT 2025","Fri May 02 12:17:37 GMT 2025","3348","LMS system","Courses","Courses","","","test_edit_course[chromium]",""
"passed","Fri May 02 12:17:23 GMT 2025","Fri May 02 12:17:25 GMT 2025","2179","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri May 02 12:17:37 GMT 2025","Fri May 02 12:17:37 GMT 2025","0","tests.pytest","test_markers","TestsUserAuthentication","","","test_login",""
"passed","Fri May 02 12:17:37 GMT 2025","Fri May 02 12:17:37 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Fri May 02 12:17:26 GMT 2025","Fri May 02 12:17:28 GMT 2025","1835","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri May 02 12:17:37 GMT 2025","Fri May 02 12:17:37 GMT 2025","0","tests.pytest","test_markers","TestSuite","","","test_case1",""
"passed","Fri May 02 12:17:28 GMT 2025","Fri May 02 12:17:30 GMT 2025","1200","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Fri May 02 12:17:35 GMT 2025","Fri May 02 12:17:36 GMT 2025","1695","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Fri May 02 12:17:27 GMT 2025","Fri May 02 12:17:28 GMT 2025","1543","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri May 02 12:17:23 GMT 2025","Fri May 02 12:17:26 GMT 2025","3100","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Fri May 02 12:17:30 GMT 2025","Fri May 02 12:17:32 GMT 2025","1770","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Fri May 02 12:17:37 GMT 2025","Fri May 02 12:17:37 GMT 2025","1","tests.pytest","test_markers","TestsUserAuthentication","","","test_password_reset",""
"passed","Fri May 02 12:17:32 GMT 2025","Fri May 02 12:17:34 GMT 2025","2652","LMS system","Courses","Courses","","","Create course",""
"passed","Fri May 02 12:17:30 GMT 2025","Fri May 02 12:17:31 GMT 2025","1413","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Fri May 02 12:17:37 GMT 2025","Fri May 02 12:17:37 GMT 2025","0","tests.pytest","test_markers","TestsUserAuthentication","","","test_logout",""
